"title","genres","vote_average","vote_count","director","popularity","cast","keywords","index"
"Avatar","Action Adventure Fantasy Science Fiction",7.2,11800,"James Cameron",150.437577,"Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez","culture clash future space war space colony society",0
"Pirates of the Caribbean: At World's End","Adventure Fantasy Action",6.9,4500,"Gore Verbinski",139.082615,"Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat","ocean drug abuse exotic island east india trading company love of one's life",1
"Spectre","Action Adventure Crime",6.3,4466,"Sam Mendes",107.37678799999999,"Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci","spy based on novel secret agent sequel mi6",2
"The Dark Knight Rises","Action Crime Drama Thriller",7.6,9106,"Christopher Nolan",112.31295,"Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy","dc comics crime fighter terrorist secret identity burglar",3
"John Carter","Action Adventure Science Fiction",6.1,2124,"Andrew Stanton",43.926995,"Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church","based on novel mars medallion space travel princess",4
"Spider-Man 3","Fantasy Action Adventure",5.9,3576,"Sam Raimi",115.69981399999999,"Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace","dual identity amnesia sandstorm love of one's life forgiveness",5
"Tangled","Animation Family",7.4,3330,"Byron Howard",48.681969,"Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey","hostage magic horse fairy tale musical",6
"Avengers: Age of Ultron","Action Adventure Science Fiction",7.3,6767,"Joss Whedon",134.27922900000002,"Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson","marvel comic sequel superhero based on comic book vision",7
"Harry Potter and the Half-Blood Prince","Adventure Fantasy Family",7.4,5293,"David Yates",98.885637,"Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon","witch magic broom school of witchcraft wizardry",8
"Batman v Superman: Dawn of Justice","Action Adventure Fantasy",5.7,7004,"Zack Snyder",155.790452,"Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg","dc comics vigilante superhero based on comic book revenge",9
"Superman Returns","Adventure Fantasy Action Science Fiction",5.4,1400,"Bryan Singer",57.925623,"Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey","saving the world dc comics invulnerability sequel superhero",10
"Quantum of Solace","Adventure Action Thriller Crime",6.1,2965,"Marc Forster",107.92881100000001,"Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini","killing undercover secret agent british secret service",11
"Pirates of the Caribbean: Dead Man's Chest","Adventure Fantasy Action",7,5246,"Gore Verbinski",145.84737900000005,"Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy","witch fortune teller bondage exotic island monster",12
"The Lone Ranger","Action Adventure Western",5.9,2311,"Gore Verbinski",49.046956,"Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale","texas horse survivor texas ranger partner",13
"Man of Steel","Action Adventure Fantasy Science Fiction",6.5,6359,"Zack Snyder",99.398009,"Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane","saving the world dc comics superhero based on comic book superhuman",14
"The Chronicles of Narnia: Prince Caspian","Adventure Family Fantasy",6.3,1630,"Andrew Adamson",53.978602,"Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley","based on novel fictional place brother sister relationship lion human being",15
"The Avengers","Science Fiction Action Adventure",7.4,11776,"Joss Whedon",144.448633,"Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson","new york shield marvel comic superhero based on comic book",16
"Pirates of the Caribbean: On Stranger Tides","Adventure Action Fantasy",6.4,4948,"Rob Marshall",135.413856,"Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush","sea captain mutiny sword prime minister",17
